 Benjamin Barker  the younger 	1826  140.0,191.0
 Bernardino Rodriguez (  Bernardino Siciliano  ) 	1650  108.0,147.0
 Carl Faber  Stuttgart 	1900  437.0,440.0
 Chief of Oraibi  Willy Tewaquaptewa 	1950 19.1 
 D. B.  Stettin  Germany 	1799  86.0,67.0
 Frederic  Lord Leighton 	1854  
 Frederic  Lord Leighton 	1860  
 H. Minder  fils 	1875  203.0,292.0
 Johann Eleazar Zeissig  called Schenau 	1779  212.0,327.0
 Pirokus  Erma village 	2000  1727.0,641.0
A. Damon et Cie.	1875  218.0,190.0
A. Damon et Cie.	1875  301.0,182.0
A. Damon et Cie.	1899  167.0,138.0
A. Fix	1878  339.0,464.0
A. Foa	1920  428.0,277.0
A. Foa	1920  428.0,276.0
A. Foa	1920  430.0,275.0
A. Foa	1920  428.0,280.0
A. Foa	1920  430.0,279.0
A. Foa	1920  429.0,277.0
A. Foa	1920  432.0,277.0
A. Foa	1918  429.0,276.0
A. Foa	1920  430.0,277.0
A. Foa	1917  428.0,277.0
A. Foa	1920  428.0,278.0
A. Foa	1920  422.0,276.0
A. Foa	1920  427.0,279.0
A. Foa	1920  427.0,277.0
A. Foa	1920  424.0,276.0
A. Foa	1920  430.0,276.0
A. Foa	1917  429.0,277.0
A. Kaufmann	1900  241.0,184.0
A. P. Waite	1850  406.0,635.0
Aaron Draper Shattuck	1928  143.0,195.0
Abanfogop	1920  2896.0,660.0
Abbate Paolo de Angelis	1646  384.0,252.0
Abbott H. Thayer	1898  1007.0,803.0
Abbott H. Thayer	1881  813.0,610.0
Abbott H. Thayer	1917  1381.0,1610.0
Abraham Bloemaert	1651  237.0,165.0
Abraham Cusin	1675 4.4 
Abraham Louis Rodolphe Ducros	1810  483.0,324.0
Abraham Rademaker	1735  215.0,334.0
Adam Elsheimer	1610  75.0,72.0
Adam Frans van der Meulen	1690  136.0,258.0
Adam Frans van der Meulen	1690  167.0,239.0
Adas	2000  1676.0,508.0
Adas	2000  1880.0,419.0
Adelaide Milton de Groot	1949  511.0,464.0
Adelaide Milton de Groot	1928  470.0,610.0
Adelaide Milton de Groot	1930  597.0,721.0
