A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
A. Calbet	1897  400.0,307.0
A. F. Gangkofner	1956  216.0,73.0
A. F. Gangkofner	1956  136.0,89.0
A. H. Staf	1934  24.0,179.0
A. K. Barutchev	1930  345.0,258.0
A. Krapp Conrad Felixmüller Josef Eberz Katharina Heise (Karl Luis Heinrich-Salze)	1918  308.0,232.0
A. Krapp Wladislav Skotarek Erich Gehre Conrad Felixmüller Jerzy von Hulewicz	2418  308.0,232.0
A. L. Pugh S. J. Stein	1957 a10.2 )
A. R. de Ycaza	1948  481.0,320.0
A. Radishchev	1936  168.0,105.0
A. Rozanova	1930  187.0,135.0
A. Smolianskii	1936  170.0,125.0
A.R. Penck (Ralf Winkler)	1985 a30.4 ) 
A.R. Penck (Ralf Winkler)	1983  641.0,755.0
A.R. Penck (Ralf Winkler)	1972  698.0,698.0
A.R. Penck (Ralf Winkler)	1972  699.0,699.0
A.R. Penck (Ralf Winkler)	1972  698.0,699.0
A.R. Penck (Ralf Winkler)	1972  696.0,698.0
A.R. Penck (Ralf Winkler)	1972  699.0,698.0
A.R. Penck (Ralf Winkler)	1972  640.0,656.0
A.R. Penck (Ralf Winkler)	1972  690.0,690.0
A.R. Penck (Ralf Winkler)	1972  695.0,699.0
A.R. Penck (Ralf Winkler)	1972  697.0,697.0
A.R. Penck (Ralf Winkler)	1984  497.0,597.0
A.R. Penck (Ralf Winkler)	1967  179.0,245.0
A.R. Penck (Ralf Winkler)	1981  502.0,749.0
A.R. Penck (Ralf Winkler)	1976  390.0,533.0
A.R. Penck (Ralf Winkler)	1982  999.0,781.0
A.R. Penck (Ralf Winkler)	1983 a30.4 ) 
AA Bronson	2018  468.0,489.0
AT&T Bell Laboratories Murray Hill NJ	1986  921.0,1086.0
Aaron Curry	2015  372.0,330.0
Ab van Hanegem	1989  296.0,420.0
Abby Leigh	2011  307.0,463.0
Abelardo Morell	2010  354.0,295.0
Abraham Cruzvillegas	2015  300.0,450.0
Abraham P. Hankins	1947  164.0,164.0
Abraham P. Hankins	1947  179.0,187.0
Abraham Walkowitz	1940  229.0,293.0
Abraham Walkowitz	1940  309.0,378.0
Abraham Walkowitz	1918  226.0,291.0
Abraham Walkowitz	1920  235.0,592.0
Abraham Walkowitz	1940  235.0,280.0
Abraham Walkowitz	1905  210.0,288.0
Abraham Walkowitz	1915  235.0,290.0
Abraham Walkowitz	1920  226.0,290.0
Abraham Walkowitz	1904  229.0,290.0
Abraham Walkowitz	1940  228.0,291.0
Abraham Walkowitz	1904  237.0,290.0
Abraham Walkowitz	1908  261.0,339.0
Abraham Walkowitz	1940  226.0,290.0
Abraham Walkowitz	1940  230.0,290.0
Abraham Walkowitz	1940  230.0,291.0
Abraham Walkowitz	1918  200.0,254.0
Abraham Walkowitz	1908  176.0,256.0
Abraham Walkowitz	1940  380.0,484.0
Abraham Walkowitz	1940  336.0,464.0
Abraham Walkowitz	1940  357.0,430.0
Abraham Walkowitz	1925  346.0,472.0
Abraham Walkowitz	1900  234.0,292.0
Abraham Walkowitz	1904  227.0,290.0
Abraham Walkowitz	1940  236.0,295.0
Abraham Walkowitz	1912  291.0,229.0
Abraham Walkowitz	1902  225.0,291.0
Abraham Walkowitz	1900  335.0,257.0
Abraham Walkowitz	1904  229.0,295.0
Abram Krol	1960  649.0,506.0
Achille Castiglioni	1970  46.0,124.0
Achille Castiglioni Pier Giacomo Castiglioni	1962  2416.0,2134.0
Achille Perilli	1966  648.0,495.0
Achilles Droungas	1966  600.0,616.0
Achilles Lemot	1516  275.0,182.0
Achilles Lemot	1886  275.0,182.0
Achilles Lemot	1515  275.0,182.0
Achilles Lemot	1016  275.0,182.0
Ad Gerritsen	1981  290.0,210.0
Ad Reinhardt	1966  559.0,432.0
Ad Reinhardt	1967  751.0,600.0
Ad Reinhardt	1964  608.0,507.0
Ad Reinhardt	1967  654.0,533.0
Ada V. Gabriel	1935  288.0,406.0
Adam Colton	1983  296.0,420.0
Adam Colton	1988  296.0,420.0
Adam Dant	1995  2210.0,845.0
Adam Helms	2007  759.0,503.0
Adam Pendleton	2008  2438.0,1927.0
Adja Yunkers	1960  406.0,508.0
Adja Yunkers	1953  572.0,401.0
Adja Yunkers	1952  362.0,242.0
Adja Yunkers	1952  498.0,324.0
Adja Yunkers	1952  429.0,289.0
Adja Yunkers	1942  420.0,315.0
Adja Yunkers	1952  415.0,320.0
Adja Yunkers	1960  509.0,406.0
Adja Yunkers	1952  501.0,307.0
Adja Yunkers	1950  420.0,208.0
Adja Yunkers	1952  509.0,398.0
Adja Yunkers	1960  438.0,335.0
Adja Yunkers	1952  168.0,314.0
Adja Yunkers	1947  511.0,642.0
Adja Yunkers	1960  613.0,469.0
Adja Yunkers	1966  654.0,535.0
Adja Yunkers Theodore Roethke	1960  500.0,428.0
Adol'f Strakhov	1922  115.0,35.0
Adolf Benca	1980  383.0,571.0
Adolf Benca	1980  571.0,378.0
Adolf Ferdinand Schinnerer	1919  275.0,217.0
Adolf Ferdinand Schinnerer	1910  175.0,275.0
Adolf Ferdinand Schinnerer	1919  275.0,215.0
Adolf Ferdinand Schinnerer	1920  323.0,243.0
Adolf Richard Fleischmann	1959  731.0,564.0
Adolph Gottlieb	1944  332.0,256.0
Adolph Gottlieb	1945  240.0,313.0
Adolph Gottlieb	1942  296.0,235.0
Adolph Gottlieb	1945  295.0,254.0
Adolph Gottlieb	1942  210.0,198.0
Adolph Gottlieb	1945  570.0,452.0
Adolph Gottlieb	1972  810.0,610.0
Adolph Gottlieb	1944  195.0,280.0
Adolph Gottlieb	1969  652.0,510.0
Adolph Loos	1931 a10.2 ) 
Adolph Loos J. & J. Kohn Vienna	1898 a45.2 ) 
Adrian Jones	2000  470.0,315.0
Adrian Paci	2008  425.0,330.0
Adrian Piper	1968  292.0,216.0
Adrian Piper	1992  660.0,660.0
Adrián Villar Rojas	2012  241.0,327.0
Agnes Denes	1970  576.0,924.0
Agnes Denes	1969  283.0,442.0
Agnes Denes	1981  550.0,447.0
Agnes Denes	1968  1130.0,381.0
Agnes Denes	1998  375.0,270.0
Agnes Denes	1976  565.0,743.0
Agnes Denes	1976  410.0,408.0
Agnes Denes	1992  374.0,527.0
Agnes Denes	1970  587.0,457.0
Agnes Denes	1998  348.0,248.0
Agnes Lyall	1937  303.0,232.0
Agnes Martin	1973  308.0,305.0
Agnes Martin	1976  280.0,280.0
Agustín Fernández	1972  765.0,568.0
Ai Weiwei	1995  229.0,182.0
Ai Weiwei	1994  229.0,182.0
Ai Weiwei	2000  248.0,210.0
Ai Weiwei	1997  228.0,178.0
Ai Weiwei	2007  540.0,110.0
Aida Carballo	1964  839.0,594.0
Aida Vaisman	1940  663.0,465.0
Aijiro Wakita	1970  489.0,472.0
Aijiro Wakita	1970  763.0,640.0
Akesuk Tudlik	1959  304.0,230.0
Akesuk Tudlik	1954  609.0,205.0
Akesuk Tudlik	1959  304.0,457.0
Akira Kurosaki	1970  895.0,606.0
Aktuální umĕni Milan Knížák Jan Mach Vit Mach Sonia Švecová Jan Trtílek	1965  308.0,227.0
Aktuální umĕni Milan Knížák Jan Mach Vit Mach Sonia Švecová Jan Trtílek	1965  308.0,226.0
Aktuální umĕni Milan Knížák Jan Mach Vit Mach Sonia Švecová Jan Trtílek	1965  307.0,225.0
Al Hansen	1979  310.0,460.0
Al Held	1983  196.0,214.0
Al Held	1967  304.0,456.0
Al Held	1967  355.0,183.0
Al Held	1967  305.0,232.0
Al Held	1983  197.0,218.0
Al Held	1983  196.0,226.0
Al Held	1983  217.0,198.0
Al Held	1983  219.0,200.0
Al Held	1983  218.0,200.0
Al Held	1983  217.0,201.0
Al Held	1983  197.0,215.0
Al Held	1983  194.0,215.0
Al Souza	1981  290.0,210.0
Al Taylor	1991  780.0,540.0
Alain Huck	2012  419.0,593.0
Alain Jacquet	1968  236.0,170.0
Alain Jacquet	1969  760.0,560.0
Alain de La Bourdonnaye	1956  67.0,115.0
Alan Charlton	1985  595.0,420.0
Alan Charlton	1986  296.0,420.0
Alan Charlton	1980  296.0,420.0
Alan Charlton	1977  296.0,420.0
Alan Cote	1969  508.0,662.0
Alan Davie	1972  500.0,658.0
Alan Davie	1973  502.0,706.0
Alan Green	1979  690.0,689.0
Alan Green	1979  690.0,692.0
Alan Green	1973  688.0,850.0
Alan Green	1979  690.0,700.0
Alan Green	1973  692.0,852.0
Alan Herman	1980  578.0,755.0
Alan Herman	1980  575.0,755.0
Alan Shields	1973  200.0,200.0
Albert E. Yersin	1945  147.0,105.0
Albert Gleizes	1949  320.0,250.0
Albert Gleizes	1920  164.0,113.0
Albert Gleizes	1953  639.0,490.0
Albert M. Fine	1966  120.0,93.0
Albert M. Fine	1989  120.0,102.0
Albert M. Fine	1965  350.0,559.0
Albert M. Fine	1967  78.0,105.0
Albert M. Fine	1967  78.0,106.0
Albert M. Fine	1965  348.0,556.0
Albert M. Fine	1968  120.0,46.0
Albert M. Fine	1965  348.0,558.0
Albert M. Fine	1966  189.0,169.0
Albert M. Fine	1967  120.0,100.0
Albert M. Fine	1965  364.0,301.0
Albert Marquet	1924  270.0,365.0
Albert Oehlen	1985  483.0,318.0
Albert Oehlen	1987  503.0,503.0
Albert Oehlen	1987  1270.0,991.0
Albert Oehlen	1985  479.0,319.0
Albert Oehlen	1985  488.0,315.0
Albert Oehlen	1985  488.0,321.0
Albert Oehlen	1985  476.0,316.0
Albert Oehlen	1985  479.0,317.0
Albert Oehlen	1985  484.0,324.0
Albert Swinden	1937  304.0,234.0
Alberto Burri	1955  257.0,172.0
Alberto Burri	1968  640.0,475.0
Alberto Burri	1968  640.0,375.0
Alberto Garcia Maldonado	1951  139.0,200.0
Alberto Giacometti	1945  16.0,13.0
Alberto Giacometti	1949  259.0,135.0
Alberto Giacometti	1947  282.0,222.0
Alberto Giacometti	1950  248.0,115.0
Alberto Giacometti	1935  320.0,248.0
Alberto Giacometti	1949  323.0,250.0
Alberto Giacometti	1956  190.0,180.0
Alberto Giacometti	1952  534.0,437.0
Alberto Giacometti	1965  240.0,200.0
Alberto Giacometti	1956  660.0,501.0
Alberto Giacometti	1954  660.0,502.0
Alberto Giacometti	1947  160.0,149.0
Alberto Giacometti	1954  530.0,437.0
Alberto Giacometti	1952  654.0,502.0
Alberto Giacometti	1945  89.0,51.0
Alberto Giacometti	1964  290.0,227.0
Alberto Giacometti	1954  720.0,555.0
Alberto Giacometti	1945  56.0,43.0
Alberto Giacometti	1945  33.0,38.0
Alberto Giacometti	1945  22.0,38.0
Alberto Giacometti	1952  500.0,656.0
Alberto Giacometti	1968  235.0,290.0
Alberto Giacometti	1964  255.0,409.0
Alberto Giacometti	1964  602.0,505.0
Alberto Giacometti	1933  508.0,380.0
Alberto Giacometti	1945  25.0,38.0
Alberto Giacometti	1959  660.0,504.0
Alberto Giacometti	1934  508.0,330.0
Alberto Giacometti	1928  101.0,81.0
Alberto Giacometti	1947  282.0,225.0
Alberto Gironella	1963  465.0,325.0
Alberto Greco	1963  300.0,237.0
Alberto Magnelli	1934  280.0,225.0
Alberto Magnelli	1962  298.0,240.0
Alberto Magnelli	1942  270.0,210.0
Alberto Magnelli	1949  322.0,253.0
Alberto Magnelli	1968  235.0,290.0
Alberto Magnelli	1953  641.0,489.0
Album-miscellaneous	1940  570.0,440.0
Alda Maria Armagni	1961  737.0,547.0
Aldemir Martins	1957  530.0,439.0
Aldo Jacober Pierangela d'Aniello	1966  540.0,781.0
Alejandro Mario Yllanes	1944  270.0,391.0
Alejandro Otero	1972  760.0,565.0
Alejandro Paz Navas	2002  200.0,250.0
Aleksandar Battista Ilic Ivana Keser Tomislav Gotovac	1999  470.0,315.0
Aleksandr Archipenko	1921  500.0,340.0
Aleksandr Archipenko	1963  761.0,563.0
Aleksandr Archipenko	1963  762.0,562.0
Aleksandr Archipenko	1963  762.0,563.0
Aleksandr Archipenko	1963  762.0,564.0
Aleksandr Archipenko	1963  567.0,762.0
Aleksandr Archipenko	1962  298.0,240.0
Aleksandr Archipenko	1963  765.0,562.0
Aleksandr Archipenko	1963  761.0,562.0
Aleksandr Archipenko	1922  328.0,262.0
Aleksandr Archipenko	1963  760.0,564.0
Aleksandr Archipenko	1920  337.0,279.0
Aleksandr Archipenko	1963  760.0,562.0
Aleksandr Rodchenko	1925  174.0,130.0
Aleksandr Rodchenko	1919  203.0,143.0
Aleksandr Rodchenko	1924 a1.8 ) 
Aleksandr Rodchenko	1921  176.0,141.0
Aleksandr Rodchenko	1925  220.0,148.0
Aleksandr Rodchenko	1929  226.0,152.0
Aleksandr Rodchenko	1923  228.0,150.0
Aleksandr Rodchenko	1923  235.0,155.0
Aleksandr Rodchenko	1924  233.0,156.0
Aleksandr Rodchenko	1926  181.0,139.0
Aleksandr Rodchenko	1924  117.0,151.0
Aleksandr Rodchenko	1923  230.0,155.0
Aleksandr Rodchenko	1930  210.0,137.0
Aleksandr Rodchenko	1925  90.0,62.0
Aleksandr Rodchenko	1929  128.0,117.0
Aleksandr Rodchenko	1919  218.0,153.0
Aleksandr Rodchenko	1928  79.0,118.0
Aleksandr Rodchenko	1926  269.0,80.0
Aleksandr Rodchenko	1925  268.0,197.0
Aleksandr Rodchenko	1931  304.0,223.0
Aleksandr Rodchenko	1930  172.0,125.0
Aleksandr Rodchenko Aleksei Kruchenykh	1921  164.0,112.0
Aleksandr Rodchenko Reklam-Konstruktor (Advertising Constructor) Agency	1923  94.0,212.0
Aleksandr Rodchenko Various Artists	1929  303.0,230.0
Aleksandr Rodchenko Varvara Stepanova	1935  420.0,295.0
Aleksandr Rodchenko Varvara Stepanova	1923  237.0,158.0
Aleksandr Rodchenko Varvara Stepanova	1934  314.0,254.0
Aleksandr Rodchenko Varvara Stepanova	1935  420.0,300.0
