?British School	1545  1330,785
Abbey  Edwin Austin	1886  394,254
Abbey  Edwin Austin	1883  305,419
Abbey  Edwin Austin	1882  251,295
Abbey  Edwin Austin	1885  267,413
Abbey  Edwin Austin	1890  305,267
Abbey  Edwin Austin	1887  260,286
Abrahams  Ivor	1970  580,780
Abrahams  Ivor	1977  385,267
Abrahams  Ivor	1975  1016,1197
Abrahams  Ivor	1970  580,784
Abts  Tomma	2004  840,594
Abts  Tomma	2010  480,380
Abts  Tomma	2004  480,380
Abts  Tomma	2008  841,594
Acconci  Vito	1972  858,959
Acconci  Vito	1972  858,992
Acconci  Vito	1972  940,1747
Acconci  Vito	1972  851,1233
Ackling  Roger	1978  558,367
Adams  Harry William	1900  1226,1841
Adams  Norman	1964  864,914
Adams  Norman	1989  1270,1526
Adams  Norman	1966  1270,1270
Adeney  Bernard	1911  2276,3048
Adler  Jankel	1943  860,1108
Adler  Jankel	1942  864,1118
Adler  Jankel	1940  311,251
Adshead  Mary	1928  515,427
Adshead  Mary	1934  1420,1822
Afro	1951  267,210
Agar  Eileen	1979  1225,1530
Agar  Eileen	1960  600,435
Agar  Eileen	1938  210,275
Agar  Eileen	1933  914,2130
Agar  Eileen	1930  1003,559
Agasse  Jacques Laurent	1805  638,759
Agasse  Jacques Laurent	1807  660,625
Aitchison  Craigie	1987  2147,1830
Aitchison  Craigie	1962  660,559
Ajmone  Giuseppe	1959  997,648
Albers  Josef	1933  362,505
Albers  Josef	1963  762,762
Albers  Josef	1966  530,530
Albers  Josef	1964  762,762
Albers  Josef	1943  404,789
Albers  Josef	1951  534,532
Albers  Josef	1945  162,251
Albers  Josef	1939  649,499
Aldridge  John	1954  508,762
Alexander  Edwin	1905  1018,1780
Alken  Henry Thomas	1830  451,648
Allan  David	1767  219,380
Allan  Sir William	1817  641,521
Allen  George Warner	1947  1219,1219
Allen  George Warner	1985  1165,1270
Allington  Edward	1987  1830,2440
Allinson  Adrian	1933  664,813
Alma-Tadema  Sir Lawrence	1909  660,451
Alma-Tadema  Sir Lawrence	1871  400,330
Alma-Tadema  Sir Lawrence	1885  311,229
Alma-Tadema  Sir Lawrence	1888  349,298
Alma-Tadema  Sir Lawrence	1889  305,229
Almeida  Helena	1995  294,208
Altoon  John	1963  762,1016
Alÿs  Francis	2000  159,208
Amiconi  Giacomo	1730  655,645
Amiet  Cuno	1921  213,152
Amiet  Cuno	1924  251,298
Anderson  Hurvin	2008  2503,2083
Anderton  Henry	1650  457,597
Andre  Carl	1967  216,279
Andre  Carl	1967  222,276
Andre  Carl	1966  257,419
Andre  Carl	1967  273,210
Andreenko  Michel	1922  485,384
Andrews  Michael	1978  1829,1829
Andrews  Michael	1985  2439,2743
Andrews  Michael	1962  2140,2445
Andrews  Michael	1952  1206,1727
Angellis  Peter	1715  937,797
Anquetin  Louis	1890  540,432
Anquetin  Louis	1899  616,768
Anquetin  Louis	1898  260,530
Anrep  Boris	1944  604,370
Anrep  Boris	1906  743,502
Appel  Karel	1955  1140,1460
Appel  Karel	1949  817,1270
Appel  Karel	1954  1730,2428
Appelbee  Leonard	1938  362,470
Appelbee  Leonard	1939  457,660
Appleyard  Fred	1914  914,1232
Araeen  Rasheed	1966  320,200
Araeen  Rasheed	1967  320,220
Araeen  Rasheed	1966  320,220
Araeen  Rasheed	1968  325,200
Araeen  Rasheed	1970  320,220
Araeen  Rasheed	1965  250,200
Araeen  Rasheed	1972  320,220
Arakawa  Shusaku	1974  794,1953
Ardizzone  Edward	1930  197,267
Ardizzone  Edward	1931  152,222
Ardizzone  Edward	1931  190,159
Ardizzone  Edward	1931  152,184
Ardizzone  Edward	1931  171,229
Ardizzone  Edward	1931  171,210
Ardizzone  Edward	1967  264,406
Ardizzone  Edward	1945  578,781
Ardizzone  Edward	1944  181,187
Ardizzone  Edward	1941  273,349
Ardizzone  Edward	1940  241,308
Arikha  Avigdor	1980  502,657
Arikha  Avigdor	1985  499,329
Armfield  Maxwell Ashby	1943  394,397
Armfield  Maxwell Ashby	1902  445,289
Armitage  Edward	1866  1276,2013
Armitage  Kenneth	1962  763,562
Armitage  Kenneth	1964  405,505
Armitage  Kenneth	1956  762,210
Armitage  Kenneth	1952  420,555
Armitage  Kenneth	1961  530,665
Armstrong  John	1967  711,914
Armstrong  John	1940  533,375
Armstrong  John	1938  478,794
Armstrong  John	1940  571,381
Arnald  George	1803  1118,1410
Arnatt  Keith	1988  506,608
Arnatt  Keith	1986  254,202
Arnatt  Keith	1982  275,357
Arnatt  Keith	1978  404,304
Arnatt  Keith	1969  915,915
Arp  Jean	1933  159,173
Arp  Jean	1954  322,257
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1981  3240,6990
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1980  2424,2134
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1982  1067,1603
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1982  975,2100
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1982  784,1627
Art & Language (Michael Baldwin  born 1945; Mel Ramsden  born 1944)	1982  797,1680
Askew  Victor	1948  787,698
Atkinson  Conrad	1980  521,622
Atkinson  Lawrence	1915  254,368
Atkinson  Terry	1982  1524,2134
Atlan  Jean-Michel	1953  1626,1295
Atwood  Clare	1933  629,762
Auerbach  Frank	1967  773,1023
Auerbach  Frank	1971  1223,1530
Auerbach  Frank	1968  225,260
Auerbach  Frank	1970  228,305
Auerbach  Frank	1968  225,267
Auerbach  Frank	1968  251,305
Auerbach  Frank	1968  267,318
Auerbach  Frank	1970  228,254
Auerbach  Frank	1970  229,304
Auerbach  Frank	1968  227,305
Auerbach  Frank	1968  251,311
Auerbach  Frank	1967  1219,1467
Auerbach  Frank	1975  1079,1079
Auerbach  Frank	1976  382,382
Auerbach  Frank	1976  572,710
Auerbach  Frank	1955  217,267
Auerbach  Frank	1968  253,329
Auerbach  Frank	1968  264,302
Auerbach  Frank	1968  271,323
Auerbach  Frank	1968  271,314
Auerbach  Frank	1968  226,268
Auerbach  Frank	1968  271,317
Auerbach  Frank	1968  253,312
Auerbach  Frank	1968  200,252
Auerbach  Frank	1968  252,306
Auerbach  Frank	1968  253,313
Auerbach  Frank	1968  252,311
Auerbach  Frank	1968  252,315
Auerbach  Frank	1968  132,182
Auerbach  Frank	1968  176,231
Auerbach  Frank	1968  130,172
Auerbach  Frank	1970  228,274
Auerbach  Frank	1981  711,610
Auerbach  Frank	1970  228,281
Auerbach  Frank	1990  1695,1494
Auerbach  Frank	1964  1282,1277
Auerbach  Frank	1970  228,276
Auerbach  Frank	1959  787,581
Auerbach  Frank	1960  433,355
Auerbach  Frank	1965  638,570
Auerbach  Frank	1959  1981,1537
Auerbach  Frank	1970  228,279
Auerbach  Frank	1965  673,622
Auerbach  Frank	1970  228,264
Auerbach  Frank	1970  228,247
Auerbach  Frank	1953  508,768
Auerbach  Frank	1979  1232,1026
Auerbach  Frank	1957  305,216
Auerbach  Frank	1970  228,259
Auerbach  Frank	1967  1146,1402
Auerbach  Frank	1976  575,575
Aumonier  James	1905  1219,1829
